Region,Town,x,y,MarkerType
ViperPit,EarlCrowley,0.816489,0.513878,Major
ViperPit,EarlsWelcome,0.145885,0.409777,Minor
KingsCage,Eastknife,0.693761,0.521926,Major
DrownedVale,Eastmarch,0.233548,0.52781,Major
Clahstra,EastNarthex,0.684707,0.723275,Major
FishermansRow,Eidolo,0.463375,0.52302,Major
AshFields,Electi,0.4613,0.133538,Major
ReachingTrail,Elksford,0.330497,0.497175,Major
EndlessShore,EnduringWake,0.205818,0.612242,Major
Heartlands,ErimosRanch,0.513069,0.845953,Minor
GreatMarch,Eristown,0.781144,0.872791,Minor
TempestIsland,ErosLagoon,0.149589,0.461273,Minor
LochMor,Escape,0.719937,0.905346,Minor
DrownedVale,Esterfal,0.786804,0.695559,Minor
MorgensCrossing,Eversus,0.359151,0.121744,Major
Godcrofts,Exile,0.425782,0.738,Major
Origin,Exorior,0.572499,0.886521,Minor
Stonecradle,FadingLights,0.73406,0.691561,Major
ClansheadValley,FallenCrown,0.288719,0.435744,Major
LochMor,FallenFields,0.511058,0.531778,Minor
Westgate,FandsChain,0.256259,0.140812,Minor
Acrithia,FatedHeel,0.58801,0.338063,Minor
GreatMarch,FatelessGrove,0.453552,0.090748,Minor
ReachingTrail,Featherfield,0.440672,0.798611,Minor
LochMor,Feirmor,0.502507,0.434246,Major
GreatMarch,Fengari,0.609906,0.749224,Minor
Westgate,FieldsofBadb,0.514195,0.150186,Minor
Acrithia,FinalMarch,0.807582,0.292509,Minor
ShackledChasm,FinalStep,0.303037,0.171808,Minor
Origin,Finis,0.317836,0.540141,Major
ShackledChasm,Firstmarch,0.84197,0.387328,Major
ReachingTrail,FishermansFloe,0.640081,0.557231,Minor
ViperPit,FleckCrossing,0.532196,0.537586,Major
Godcrofts,Fleecewatch,0.39515,0.139818,Major
DrownedVale,FleetsfallRiver,0.485968,0.083521,Minor
Westgate,FlidaisPasture,0.692416,0.22018,Minor
StemaLanding,Foreland,0.565351,0.261996,Minor
TheFingers,FortBarley,0.451795,0.367759,Major
SpeakingWoods,FortBlather,0.741795,0.802822,Major
LinnMercy,FortDuncan,0.736737,0.766062,Major
ClansheadValley,FortEalar,0.369838,0.715367,Major
FishermansRow,FortEmber,0.604485,0.324899,Major
ClansheadValley,FortEsterwild,0.715624,0.585883,Major
Oarbreaker,FortFogwood,0.787753,0.441519,Major
StlicanShelf,FortHoarfrost,0.607751,0.588688,Major
ReachingTrail,FortMacConaill,0.70213,0.848276,Major
RedRiver,FortMatchwood,0.545267,0.391126,Major
Heartlands,FortProvidence,0.75808,0.379264,Major
HowlCounty,FortRed,0.864711,0.411674,Major
ReaversPass,FortRictus,0.319854,0.199959,Major
HowlCounty,FortRider,0.351398,0.856752,Major
ViperPit,FortViper,0.341857,0.599041,Major
ClansheadValley,FortWindham,0.406273,0.140233,Major
WeatheredExpanse,Foxcatcher,0.516482,0.77808,Major
RedRiver,FragmentKnolls,0.177803,0.36585,Minor
WeatheredExpanse,Frostmarch,0.154921,0.463194,Major
LinnMercy,GallantGoughBoulevard,0.098207,0.43022,Minor
AllodsBight,GangrenousHollow,0.307639,0.736484,Minor
MarbanHollow,GapingMaw,0.562776,0.120337,Minor
KingsCage,GibbetFields,0.675521,0.690227,Major
StlicanShelf,GlassyFlats,0.282701,0.627241,Minor
Oarbreaker,Gold,0.206024,0.427641,Major
UmbralWildwood,GoldenConcourse,0.150958,0.712638,Minor
UmbralWildwood,GoldenrootRanch,0.156711,0.550508,Major
ShackledChasm,GorgonGrove,0.223359,0.356046,Major
TheFingers,GrapeshotIslands,0.565754,0.230278,Minor
TheMoors,GravekeepersHoldfast,0.42435,0.684748,Major
NevishLine,GravenFalls,0.535382,0.935963,Minor
HowlCounty,GreatWardenDam,0.655402,0.356211,Major
Heartlands,GreenfieldOrchard,0.731733,0.20454,Major
NevishLine,GriefMother,0.700765,0.648258,Major
Oarbreaker,GrislyRefuge,0.357618,0.169283,Major
Sableport,GroggyPinion,0.243216,0.197809,Minor
FarranacCoast,GulfoftheDaughters,0.016858,0.583299,Minor
RedRiver,GunpowderLane,0.613019,0.243462,Minor
AshFields,GunslingersPass,0.404807,0.918551,Minor
ShackledChasm,HadesLadder,0.407522,0.297558,Minor
Kalokai,Hallow,0.483021,0.452782,Major
GreatMarch,HaltingValley,0.788521,0.346285,Minor
Westgate,HandsomeHideaway,0.334056,0.499294,Minor
FishermansRow,HangmansCourt,0.724699,0.442835,Major
ViperPit,Hardcaps,0.45872,0.032196,Minor
LinnMercy,Hardline,0.359915,0.588794,Major
ReachingTrail,Harpy,0.443331,0.916366,Major
AllodsBight,HarpysPerch,0.502351,0.399817,Minor
Heartlands,HarvestersRange,0.47385,0.545041,Minor
TheFingers,HeadsmansVilla,0.196181,0.448838,Major
TheMoors,Headstone,0.475508,0.510661,Major
FishermansRow,HeartofRites,0.355314,0.468718,Minor
Acrithia,HeirApparent,0.458263,0.094163,Major
FarranacCoast,HermesInlet,0.270749,0.432295,Minor
UmbralWildwood,HermitsRest,0.671226,0.617663,Major
Westgate,Hillcrest,0.642059,0.625339,Minor
Westgate,Holdfast,0.464436,0.277717,Major
CallumsCape,Holdout,0.709838,0.57036,Major
CallumsCape,Hollowhill,0.617428,0.161845,Minor
AllodsBight,Homesick,0.353158,0.382657,Major
ReachingTrail,Hookhall,0.366727,0.649826,Minor
DeadLands,HopesCauseway,0.528303,0.579458,Minor
FishermansRow,HouseRoloi,0.260104,0.773875,Minor
ReachingTrail,Humidus,0.272328,0.667343,Minor
HowlCounty,HungryWolf,0.176456,0.46004,Major
WeatheredExpanse,Huntsfort,0.485847,0.534975,Major
SpeakingWoods,Hush,0.456654,0.222812,Major
FarranacCoast,Huskhollow,0.586092,0.562781,Major
ReachingTrail,IceRanch,0.704202,0.387893,Major
Kalokai,IchorusAmphitheatre,0.320098,0.304566,Minor
SpeakingWoods,InariBase,0.743176,0.157392,Major
Origin,Initium,0.615585,0.336922,Major
Westgate,InkwellLane,0.592862,0.105834,Minor
Oarbreaker,Integrum,0.362544,0.809671,Major
CallumsCape,Ire,0.479449,0.849527,Major
EndlessShore,IronJunction,0.359527,0.795666,Major
DeadLands,IronsEnd,0.461208,0.262074,Major
Godcrofts,Isawa,0.548648,0.197014,Major
StemaLanding,IsleofEros,0.439332,0.452275,Minor
TempestIsland,IsleofPsyche,0.151593,0.513692,Major
FarranacCoast,IuxtaGulf,0.778393,0.146006,Minor
GreatMarch,JackbootCreek,0.249491,0.643458,Minor
GreatMarch,JackField,0.416581,0.942944,Minor
Heartlands,JanusField,0.411097,0.873623,Minor
DeadLands,JasparRange,0.288076,0.663217,Minor
KingsCage,JestersFoil,0.244929,0.342234,Minor
ReaversPass,JewellersBay,0.73488,0.429026,Minor
RedRiver,Judicium,0.721711,0.367189,Major
FarranacCoast,Kardia,0.626106,0.86518,Minor
Westgate,KardiaRoad,0.59089,0.178799,Minor
ReaversPass,Keelhaul,0.422143,0.710733,Major
EndlessShore,KelpiesMane,0.776037,0.635214,Minor
EndlessShore,KelpiesTail,0.719425,0.674869,Minor
Westgate,KillianQuarter,0.789166,0.160076,Minor
Westgate,Kingstone,0.643556,0.410888,Major
ViperPit,Kirknell,0.282704,0.548087,Major
WeatheredExpanse,Kirkyard,0.296807,0.622848,Minor
Oarbreaker,KofteriChannel,0.509271,0.399374,Minor
Heartlands,KosMeadows,0.233848,0.874821,Minor
UmbralWildwood,LachesisTally,0.840556,0.54475,Major
ViperPit,LakeMioira,0.213708,0.100938,Minor
FishermansRow,LakeNerites,0.326997,0.542891,Minor
LochMor,LakeSeverspring,0.134594,0.678678,Minor
BasinSionnach,Lamplight,0.70557,0.579375,Major
LinnMercy,Lathair,0.725896,0.311908,Major
KingsCage,LeaflessWhim,0.174184,0.656511,Minor
UmbralWildwood,LeatherbackPathway,0.710999,0.374039,Minor
GreatMarch,LegacyPasture,0.775861,0.778066,Minor
Acrithia,LegionRanch,0.753278,0.463919,Major
ShackledChasm,LegionsDawn,0.346242,0.948273,Minor
GreatMarch,Leto,0.245985,0.504085,Major
TempestIsland,LiarsHaven,0.681306,0.639823,Major
TempestIsland,LiarsLeague,0.774758,0.49162,Minor
DeadLands,LiberationPoint,0.242962,0.551771,Major
FarranacCoast,LiberationStreet,0.831482,0.845824,Minor
FishermansRow,LibertyHill,0.367381,0.357838,Minor
EndlessShore,Liegehearth,0.302815,0.451288,Minor
Sableport,LightsEnd,0.359168,0.707818,Major
ReachingTrail,LimestoneHoldfast,0.293893,0.155578,Major
ShackledChasm,LimewoodHoldfast,0.471568,0.474952,Major
DrownedVale,Linger,0.484416,0.344763,Minor
CallahansPassage,LingeringLashes,0.396006,0.163192,Minor
GreatMarch,Lionsfort,0.695684,0.122161,Major
Oarbreaker,LionsHeadPass,0.456777,0.803756,Minor
Godcrofts,Lipsia,0.728633,0.759594,Major
HowlCounty,LittleLamb,0.587711,0.815406,Major
MorgensCrossing,Lividus,0.614973,0.538343,Major
CallahansPassage,Lochan,0.549409,0.507903,Minor
CallahansPassage,LochanBerth,0.5627,0.423747,Major
LochMor,LochMor,0.463501,0.270625,Minor
MarbanHollow,Lockheed,0.64076,0.89877,Major
MarbanHollow,LockheedBreakers,0.552781,0.844049,Minor
Heartlands,Loftmire,0.551604,0.441997,Minor
DrownedVale,Loggerhead,0.415039,0.207948,Major
Stonecradle,Longing,0.369986,0.732075,Minor
Westgate,Longstone,0.645475,0.72344,Major
CallumsCape,Lookout,0.751717,0.779346,Major
Sableport,LordsCellar,0.758908,0.821465,Minor
Westgate,LordsMouth,0.829339,0.430749,Major
TempestIsland,LostAirchal,0.690536,0.828817,Minor
Kalokai,LostGreensward,0.557117,0.900637,Major
ClansheadValley,LostOrphans,0.261982,0.614858,Minor
Westgate,LostPartition,0.815001,0.575654,Major
CallahansPassage,LostTops,0.245092,0.871078,Minor
Heartlands,LowerBarronyField,0.462695,0.315591,Minor
TheMoors,LuchsWorkshop,0.721818,0.202391,Major
MarbanHollow,LughboneDam,0.605724,0.419884,Minor
Sableport,LyeFields,0.458054,0.691301,Minor
TheMoors,LyonsWood,0.884749,0.392968,Minor
ReachingTrail,MacConaillsPass,0.617241,0.985965,Minor
TheMoors,MacConmaraBarrows,0.58294,0.805496,Major
FarranacCoast,MachasKeening,0.702051,0.782469,Major
MarbanHollow,MaidensVeil,0.517573,0.521407,Major
DeadLands,MandibleCrossroads,0.201303,0.335666,Minor
ShackledChasm,MankyHills,0.812511,0.592833,Minor
FarranacCoast,Mara,0.854971,0.484275,Major
LochMor,MarketRoad,0.204178,0.515131,Major
DeadLands,MarrowCopse,0.351984,0.313079,Minor
Terminus,MartyrsFang,0.488041,0.433675,Minor
FarranacCoast,McCarthyFields,0.6015,0.781092,Minor
LinnMercy,MercifulStrait,0.841928,0.675302,Minor
DeadLands,MercyMeadow,0.12713,0.541939,Minor
DeadLands,MercysEnd,0.622916,0.830656,Minor
AllodsBight,MercysWail,0.512385,0.570363,Major
LochMor,MercysWish,0.454502,0.13036,Major
EndlessShore,MerrowsRest,0.789325,0.771079,Minor
GreatMarch,Milowood,0.773954,0.696988,Minor
RedRiver,Minos,0.367716,0.472543,Major
LochMor,MissingBones,0.854435,0.307173,Minor
NevishLine,MistleShrine,0.827254,0.437088,Major
ViperPit,Moltworth,0.62345,0.710397,Major
LochMor,MoonsCopse,0.770753,0.508001,Major
TheMoors,MoonsWalk,0.420775,0.341986,Minor
FarranacCoast,MooringDens,0.592381,0.285155,Minor
TheMoors,MorrighansGrave,0.728639,0.606998,Major
GreatMarch,MorsRange,0.69876,0.722933,Minor
AshFields,MountBlackmoth,0.597245,0.223425,Minor
AshFields,MountBrimstone,0.418602,0.806958,Minor
ReaversPass,MountHaulwind,0.585246,0.563418,Minor
MarbanHollow,MountMacTire,0.30356,0.917059,Minor
SpeakingWoods,MountRell,0.178777,0.564652,Minor
TheFingers,MountTalio,0.416915,0.42968,Minor
ReachingTrail,Mousetrap,0.840101,0.533163,Major
MarbanHollow,Mox,0.710367,0.117435,Major
LinnMercy,Mudhole,0.570014,0.302388,Minor
SpeakingWoods,Mute,0.300329,0.292903,Minor
GreatMarch,MyrmidonsStay,0.605882,0.229735,Major
CallumsCape,Naofa,0.146668,0.503729,Major
LinnMercy,Nathair,0.593859,0.413467,Minor
WeatheredExpanse,Necropolis,0.347402,0.688721,Major
Acrithia,NereidKeep,0.714488,0.634941,Major
NevishLine,NevishTrail,0.356067,0.079942,Minor
ReachingTrail,Nightchurch,0.378225,0.744878,Major
Kalokai,NightsRegret,0.215323,0.473865,Major
Origin,NoventusPassage,0.482053,0.095706,Minor
Oarbreaker,Obitum,0.619528,0.336028,Minor
Origin,ObsidioIsland,0.219294,0.273337,Minor
FishermansRow,Oceanwatch,0.472029,0.129335,Major
KingsCage,OcelotBridge,0.57396,0.430873,Minor
TheMoors,Ogmaran,0.431212,0.170432,Major
Heartlands,OleanderFields,0.676584,0.639753,Minor
Heartlands,OleanderHomestead,0.827817,0.490685,Major
AshFields,OmegaValley,0.756888,0.307643,Minor
MarbanHollow,OsterWall,0.799404,0.471271,Major
LochMor,Ousterdown,0.205338,0.661872,Minor
LinnMercy,OutwichRanch,0.837013,0.486813,Major
DeadLands,OvergrownPasture,0.15952,0.643427,Minor
CallahansPassage,OverlookHill,0.52523,0.648151,Major
TempestIsland,PaleCnap,0.289755,0.103958,Minor
Heartlands,PandoraCompound,0.440343,0.710071,Minor
Oarbreaker,PartisanIsland,0.738065,0.662346,Major
ViperPit,PathoftheCharmed,0.681991,0.94183,Minor
DeadLands,PathtotheSun,0.272948,0.893189,Minor
Acrithia,Patridia,0.392782,0.609666,Major
RedRiver,Penance,0.502715,0.166192,Major
Clahstra,PenitentInlet,0.325046,0.45936,Minor
Godcrofts,PeriptiDepths,0.482572,0.80497,Minor
FishermansRow,PeriptiLanding,0.294184,0.454027,Major
RedRiver,Perish,0.286029,0.74905,Minor
Godcrofts,PerpetuaChannel,0.473227,0.371991,Minor
Godcrofts,PigIsland,0.49814,0.512251,Minor
MarbanHollow,Pilgrimage,0.396672,0.101864,Minor
ReachingTrail,Pitfall,0.877845,0.378583,Minor
TempestIsland,PlanaFada,0.327757,0.820219,Major
TheFingers,Plankhouse,0.34953,0.626508,Major
FarranacCoast,PleadingWharf,0.626276,0.717469,Major
NevishLine,Plumage,0.683647,0.783853,Minor
LochMor,Pockfields,0.535273,0.660821,Minor
Oarbreaker,Pollux,0.433407,0.091571,Minor
DeadLands,PommelAnnex,0.488575,0.393344,Minor
StlicanShelf,PortofRime,0.674521,0.33457,Major
Oarbreaker,Posterus,0.57131,0.793343,Major
Godcrofts,PrimusTrames,0.591749,0.857853,Minor
NevishLine,Princefal,0.560197,0.53362,Major
CallumsCape,PrincefalBurn,0.198084,0.546851,Minor
NevishLine,PrincefalBurn,0.545455,0.707603,Minor
ReaversPass,PrivateersBounty,0.484284,0.246857,Minor
Heartlands,Proexi,0.652623,0.835046,Major
FishermansRow,ProgonosWatch,0.505007,0.440884,Minor
Godcrofts,Protos,0.294801,0.439692,Major
Heartlands,ProvidenceField,0.611813,0.348113,Minor
ReachingTrail,Puncta,0.185309,0.588827,Minor
MorgensCrossing,Quietus,0.294471,0.362705,Major
BasinSionnach,RadiantShore,0.238623,0.661452,Minor
Westgate,RanchersFast,0.694478,0.18182,Major
SpeakingWoods,ReachingRiver,0.709996,0.679859,Minor
TheMoors,ReachingRiver,0.226313,0.270759,Major
Westgate,ReaversCove,0.475044,0.524352,Minor
RedRiver,RedCrossing,0.618107,0.83563,Minor
TempestIsland,Reef,0.705749,0.303476,Major
ShackledChasm,Reflection,0.2163,0.604324,Major
Oarbreaker,ReliquaLagoon,0.657788,0.637926,Minor
SpeakingWoods,RellFoothills,0.31729,0.665788,Minor
GreatMarch,RemnantAcreage,0.523388,0.515668,Minor
GreatMarch,RemnantVilla,0.551107,0.439471,Major
ReachingTrail,Reprieve,0.544686,0.676061,Major
WeatheredExpanse,RevenantsPath,0.837263,0.589043,Minor
StlicanShelf,RevenantsWalk,0.50587,0.2374,Minor
WeatheredExpanse,RimeWastes,0.23785,0.39046,Minor
LochMor,Rip,0.486969,0.781413,Minor
MorgensCrossing,RisingCalm,0.477306,0.382114,Minor
Terminus,RisingLoom,0.489286,0.70422,Minor
Sableport,RivenDowns,0.720293,0.154522,Minor
TheMoors,Riverhill,0.658769,0.238437,Minor
Acrithia,Riverlands,0.498765,0.830776,Minor
LinnMercy,Rotdust,0.585684,0.151789,Major
AllodsBight,Rumhold,0.256701,0.243639,Major
TheFingers,RustyAnchor,0.261059,0.335298,Minor
Godcrofts,Saegio,0.56166,0.480921,Major
Clahstra,SaintsCrossing,0.68892,0.302323,Minor
EndlessShore,SaltbrookChannel,0.303757,0.381626,Major
Westgate,SanctifiedPath,0.63349,0.822231,Minor
MarbanHollow,Sanctum,0.225538,0.272192,Major
Oarbreaker,SandalwoodBeach,0.673889,0.148988,Minor
ShackledChasm,Savages,0.390308,0.18469,Major
KingsCage,Scarlethold,0.385352,0.784494,Major
FarranacCoast,ScarpofAmbrose,0.477039,0.379341,Major
TheMoors,ScathCopse,0.864296,0.559622,Minor
CallahansPassage,ScathPassing,0.3491,0.531843,Major
GreatMarch,SchalaEstate,0.33548,0.635879,Minor
TempestIsland,Sclera,0.534173,0.581901,Minor
ReachingTrail,Scorpion,0.338546,0.863169,Minor
CallumsCape,ScoutsJest,0.237363,0.74375,Major
GreatMarch,ScrabblingMotte,0.19586,0.178107,Minor
AllodsBight,Scurvyshire,0.372653,0.209968,Major
ReaversPass,Scuttletown,0.250697,0.490425,Major
FarranacCoast,Scythe,0.788555,0.348502,Major
StlicanShelf,SearingBlind,0.176978,0.374119,Minor
TheFingers,SecondMan,0.329551,0.85393,Major
Clahstra,SecondPrayer,0.822803,0.408249,Minor
UmbralWildwood,Sentry,0.395983,0.825286,Major
ViperPit,SerenitysBlight,0.443897,0.351141,Major
GreatMarch,SerpentCharm,0.280965,0.836178,Minor
BasinSionnach,Sess,0.223914,0.411794,Major
Terminus,Sever,0.825583,0.405656,Minor
ReaversPass,SharkfinRiver,0.680942,0.248286,Minor
WeatheredExpanse,ShatteredAdvance,0.389442,0.308512,Major
FarranacCoast,SickleHill,0.465936,0.444244,Minor
HowlCounty,Sickleshire,0.699618,0.657902,Major
EndlessShore,SidheFall,0.484388,0.297024,Major
